(iK) (radio) relay	chuukei
(iK) abrasion	mamou
(iK) cooperation (vs)	kyouryoku
(iK) defacement (vs)	mametsu
(iK) good	yoi
(iK) grinding (vs)	kenma
(iK) poor (an)	kawaisou
(iK) pun	dajare
(iK) swift horse	shunba
(iK) to arrest	uchitoru
(iK) to pulverize	suritsubusu
(iK) to rub	sureru
(imperial) edict	chokurei
(in a) trance	muchuu
(in imperative) fuck off (vulg, X)	kieuseru
(in the) emperor's hearing	eibunni
(in) authority	ue
(in) charge (vs)	tantou
(in) the evening sun	yuuhi
(inflected) end of a word	gobi
(inn's) open air bath	sotoyu
(instrumental) duet	nijuusou
(insulting) you	onore
(intensity of) illumination	shoudo
(international) loan	shakkan
(into) one	ichigan
(intr.) disperse	taisan
(io) (fighter's) letter of challenge	hatashijou
(io) (lover's) date	aibiki
(io) (railway) cutting	kiridooshi
(io) a payment made via bank deposit transfer	furikomi
(io) abandoned (stray) cat	suteneko
(io) after the rain	ameagari
(io) Arita ware (porcelain)	aritayaki
(io) attractive (an)	kakkoii
(io) bargaining	kakehiki
(io) cat's cradle	ayatori
(io) clear soup	sumashijiru
(io) clothes drying place	monohoshi
(io) cold	hiyayaka
(io) cute (uk)	mabui
(io) echo	hibiki
(io) exposure to the sun	hiatari
(io) face to face	mamukai
(io) flint	hiuchiishi
(io) heavy drinker	nonbee
(io) interlude	ainote
(io) jutting out (of bounds)	hamidashi
(io) learn by observation	minarai
(io) needy circumstances	binbougurashi
(io) novelty	kawaridane
(io) or (id)	aruiha
(io) outset	furidashi
(io) proviso	tadashigaki
(io) rather	mushiro
(io) relief	ukibori
(io) repetition of the previous character	odoriji
(io) scribbling	itazuragaki
(io) shell gathering (at low tide)	shiohigari
(io) talk	hanashi
(io) temporariness	karisome
(io) Thank you (id)	arigatou
(io) to (keep on) file	tojikomu
(io) to adjoin each other	tonariau
(io) to be decided	kimaru
(io) to be frank	uchiakeru
(io) to be opposite	mukaiau
(io) to be uncommon	namihazureru
(io) to be worried	wabiru
(io) to burst	wakiokoru
(io) to drop	otosu
(io) to face	mukau
(io) to fertilize	koyasu
(io) to float	ukabu
(io) to get into	hamaru
(io) to gouge out	kurinuku
(io) to harm	sokonau
(io) to lick	neburu
(io) to mix	majiru
(io) to muster (e.g. courage)	furuiokosu
(io) to raise	hagukumu
(io) to raise	okosu
(io) to rinse	yusugu
(io) to smoke	kusuburu
(io) to take the place of (vi)	kawaru
(io) to threaten	obiyakasu
(io) to truncate	kirisuteru
(io) transfer (trains, buses, etc.)	norikae
(Japan) Travel Bureau	koutsuukousha
