(AWS)	Afrikaanse Woordelys en Spelreëls
advisory committee	advieskomitee
advocate, barrister	advokaat
advocate, lawyer	advokaat
Aegean Sea	Egeïese See
aerate	ontgas
aerial (automotive)	antenne
aerial (automotive)	lugdraad
affable, friendly, good-natured, kind	vriendelik
affair	affêre
affair, business, business deal, case, matter	ding
affair, business, business deal, case, matter	saak
affect (v)	affekteer
affect, call at, cause, give rise to	aandoen
affect, influence	beïnvloed
affectation	affektasie
affection, emotion	aandoening
affection, emotion	emosie
affidavit	affidavit
affiliate	affilieer
affiliation	affiliasie
affinity	affiniteit
affirmative	affirmatief, affirmatiewe
affix, join, glue	aanheg
affront (n)	affront
affront (v)	affronteer
Afghan	Afghaan
Afghanistan	Afghanistan
afraid	bang
afraid	beangs
Africa	Afrika
african horned toad	platanna
african languages	afrikatale
african policy	afrikabeleid
african unity	afrika-eenheid
African, Afrikaans, Afrikaans language	Afrikaans
africanisation	afrikanisering
africanise	afrikaniseer
africanist	afrikanis
afrikaans-speaking	afrikaanssprekend, afrikaanssprekende, afrikaanstalig, afrikaanstalige
afrikander bull	afrikanerbul
afrikander cattle	afrikanerbeeste
afrikander cow	afrikanerbees, afrikanerkoei
afrikander ox	afrikaneros
afrikaner boy	afrikanerseun
afrikaner woman	afrikanervrou
Afrikaner, Afrikander	Afrikaner
Afrikaner, Afrikander, Boer	Boer
afrikaners	afrikaners
Afro-Asian	Afro-Asiaties
after	agterna
after	nadat
aftertaste	nasmaak
afterwards, next, subsequently	daarna
again, all over again, anew, once more, weather	weer
agar	agar
agararian	agraries, agrariese
age	ouderdom
age of accountability	ouderdom van toerekenbaarheid
aged	verouderd
ageing	veroudering
ageing potential	verouderingspotensiaal
agencies	agentskappe
agency	agentskap
agents	agente
aggregate	aggregaat
aggregated (adj.)	saamgestel(de) (b.nw.)
aggressive	aggressief, aggressiewe
aggressor	aggressor
aging	veroudering
agitation	agitasie
agitator	agitator
agnostic	(a)	agnosties, agnostiese
agnostic (n)	agnostikus
agnosticism	agnostisisme
agnostics	agnostici, agnostikusse
ago	gelede
agoraphobia	agorafobie
agreeable, enjoyable, lovely, nice, pleasant	aangenaam
agreeable, enjoyable, lovely, nice, pleasant	heerlik
agreeable, enjoyable, lovely, nice, pleasant	lekker
agreed, OK, O.K., okay	top
agression	aggressie, aggressiwiteit
agricultural product	plaasproduk
agricultural school	landbouskool
agriculture	akkerbou
ahead, foreward	voort
ahead, foreward	vorentoe
ahead, formerly, previously	voorheen
ahead, formerly, previously	vroeër
ahoy	ahooi
aid, assistant, helper, assistent	assistent
aid, help	hulp
aim(s)	doelstelling(s)
aim, goal, purpose	doel
aim, goal, purpose	oogmerk
aim, intend, mean	bedoel
air	lug
air conditioner	lugversorger
air letter, aerogramme	lugposbrief
air-line	lugleiding
air-mail	lugpos
airdried	luggedroog
airfield	vliegveld
airfield, airport	lughawe
Aix-la-Chapelle	Aken
alabaster	albaster
alarm (n)	alarm
alarm (v)	alarmeer
alarm clock	wekker
alarm shot	alarmskoot
alarming	alarmerend
alarmist	alarmisties, alarmistiese
Albanian	Albaans
Albanian	Albanees
albanian (a)	albaans, albaanse, albanees
albanian (n) albanees, albaniër
Albanian, Albanian language	Albanies
Albanian, Albanian language	Albaniese taal
albanians	albanese, albaniërs
albatross	albatros
albinism	albinisme
albino	albino
albinos	albino's
albums	albums
alchemical	alchemisties, alchemistiese
alchemist	alchemis
alchemists	alchemiste
alchemy	alchemie
alcohol content	alkoholinhoud
alcohol poisoning	alkoholvergiftiging
alcohol strength	alkoholsterkte
alcohol trade	alkoholhandel
alcohol-forming power	alkoholvormingsvermoë
alcohol-free	alkoholvry, alkoholvrye
alcoholic (a)	alkoholies, alkoholiese
alcoholic (n)	alkoholis
alcoholics	alkoholiste
alcoholism	alkoholisme
alcove	alkoof
alcoves	alkowe
aldehyde	aldehied
alder	els
alder	elsboom
ale, beer	bier
alert (a)	waaksaam, op die hoede
alert (n)	waarskuwing
alert (v)	waarsku
alert, brisk, keen	lewendig
Aleutian Islands	Aleoete
Alexandria	Alexandrië
alexandrian	aleksandryn
algebra	algebra
algebraic	algebraïes, algebraïese
Algeria	Algerië
Algerian	Algeryn
Algerian	Algeryns
algerian (a)	algeryns, algerynse
algerian (n)	algeryn
Algiers	Algiers
algorythm	algoritme
alias	alias
alias	alias, pennaam
aliases	alliasse
alien, foreign, strange	vreemd
alienated	ontheemde
alienation	aliënasie
aliens, refugees	ontheemdes
alimentary	alimentêr, alimentêre
alimentation	alimentasie
aliteration	alterasie
alkaline (a)	alkalies, alkaliese
all	al die
all	alle
all about, everywhere	oral
All Hallows, All Saints' Day	Allerheilige
all kinds of	allerlei
all night	heelnag
all of a sudden, suddenly	skielik
all souls day	allersieledag
All Souls' Day	Allersiele
all the same, equally, a while, momentarily	ewe
all the time, in the meantime, meanwhile	intusse
all the time, in the meantime, meanwhile	solank
all the time, in the meantime, meanwhile	tegelyk
all the way	heelpad
all, each, every, everyone	almal
all, each, every, everyone	elke
all, each, every, everyone	elkeen
all-covering	allesbedekkend, allesbedekkende
all-encompassing	allesomvattend, allesomvattende
all-encompassing	alomvattend, alomvattende
all-father	alvader
all-knowing, omniscient	alwetend, alwetende
all-overpowering	allesoorheersend, allesoorheersende
all-saints day	allerheiligedag, allerheiligefees
all-seeing	alsiende
allegorical	allegories, allegoriese
allegories	allegorieë
allegory	allegorie
allergen	allergiewekker
allergic	allergies, allergiese
allergies	allergieë
allergy	allergie
alliance	alliansie
