a	een
ampere, ampère	ampère
ample, extensive, bulky, comprehensively	uitgebreid
ample, extensive, comprehensive, bulky	veelomvattend
amputate	amputeren
amputate	wegsnijden
amputation	amputatie
amputation	wegneming
Amsterdam	Amsterdam
Amsterdam	Groot-Mokum
Amsterdam	Mokum
Amudaryra, Oxus	Amoedarja
amuse	amuseren
amuse	onderhouden
amuse	opvrolijken
amusement, fun, entertainment	amusement
amusement, fun, pleasure	vermaak
amusing, entertaining, funny	leuk
an	een
anaemia, anemia	anemie
anaemic, anemic	bloedarm
analogous	analoog
analogous	overeenkomend
analyse, analyze	analyseren
analyse, analyze	ontleden
analysis	analyse
analysis	ontbinding
analysis	ontleding
analytic, analytical	analytisch
Anatolia	Anatolië
anchor	anker
anchovy	ansjovis
ancient, old-fashioned, antique	ouderwets
and	en
Andalusia	Andalusië
Andalusian	Andalusisch
Andes	Andes
Andes	Andesgebergte
Andorra	Andorra
Andorrian	Andorraans
Andorrian	Andorrees
Andromeda	Andromeda
anecdote	anecdote
anecdote	anekdote
anemia, anaemia	bloedarmoede
anemone	anemoon
anesthesia, anaesthesia	anesthesie
anesthesia, anaesthesia	verdoving
anew, again	nogmaals
anew, again	van voren af aan
angel	engel
angelic	engelachtig
anger	boosheid
anger	gramschap
anger	toorn
angle	hoek
anglicism	anglicisme
Anglo-Saxon	Angelsaksisch
Angola	Angola
Angolian	Angolees
angry	boos
angry	nijdig
angry	toornig
angry, bad	kwaad
anguish, fear	beklemming
animate	verlevendigen
Ankara, Angora	Angora
Ankara, Angora	Ankara
anniversary	gedenkdag
anniversary	herdenkingsdag
annotation	aantekening
annotation	commentaar
announcement, notification	verkondiging
announcer	omroepster
annoy	verontwaardigen
annul, analyse, remit, analyze	ontbinden
annul, remit	afgelasten
annul, remit	annuleren
Annunciation	Annunciatie
Annunciation	Maria-Boodschap
anoint, pour, smear	sauzen
anoint, smear	doorsmeren
anonymous	ongenoemd
anonymous, nameless	anoniem
anonymous, nameless	naamloos
answer, reply	antwoorden op
ant	mier
Antarctic	Zuidelijke IJszee
antediluvian	antediluviaans
antediluvian	zeer oud
antelope	antilope
antenna	antenne
antenna	voelhoorn
antenna, wit	spriet
antenna, yard	ra
anthem, hymn	kerkgezang
anthology, chrestomathy	antologie
anthropologist	antropoloog
anti-freeze	antivries
anticipate	anticiperen
anticipate	prejudiciëren
Antilles	Antillen
Antillian	Antilliaans
Antioch	Antiochië
antique, ancient	aloud
antique, ancient	antiek
antiquity	oudheid
antiseptic	antiseptisch middel
Antwerp	Antwerpen
Anubis	Anoebis
anus	aars
anus	anus
anvil	aambeeld
anvil	aanbeeld
anxious	beducht
anxiously, anxious	bezorgd
anxiously, anxious	ongerust
apartment, flat	appartement
apathetic	apathisch
apathy	apathie
apathy	dofheid
apathy	lusteloosheid
ape, monkey	aap
Apennines	Apennijnen
aperture, opening	mond
aperture, rump, backside, opening	gat
aphasia	afasie
aphasia	sprakeloosheid
aphorism	aforisme
aphorism	kernspreuk
Aphrodite	Afrodite
apiary	bijenschans
apiary	bijenstal
apish, ape-like, monkey-like	aapachtig
aplomb, self-assurance, weight	gewicht
Apocalypse	Openbaring van Johannes
Apollo	Apollo
apologize	zich verontschuldigen
apology	verontschuldiging
apostle	apostel
apostle, champion	voorvechter
apostrophe	afkappingsteken
apostrophe	apostrof
appall, dismay	onthutsen
appall, dismay	ontstellen
appall, dismiss, dismay, sack, fire, discharge	ontzetten
apparatus, device, set	hulpmiddelen
apparent	aanwijsbaar
apparent	vertoonbaar
apparently, clearly, net, obviously, neat, evident	duidelijk
appeal	appelleren
appeal	een beroep doen op
appear, emerge, perform	opdraven
appearance	verschijnen
appearance	verschijning
appellation, name	benaming
appellation, name, reputation	naam
appendicitis	blindedarmontsteking
appetite	eetlust
appetite	graagte
appetite	hongerigheid
applaud, acclaim	toejuichen
