a	een
hunt	jagen
hunter	jager
Hunze, Oostermoersevaart	Hunze
Hunze, Oostermoersevaart	Oostermoersevaart
Hurdegaryp, Hardegarijp	Hardegarijp
hurdy-gurdy	draaiorgel
hurdy-gurdy	pierement
hurray	hoera
hurricane	orkaan
hurriedly, hurried, hastily	gehaast
hurry, rush	haast maken
husband	gemaal
husband, spouse	echtgenoot
husband, spouse	man
husband, spouse, wife	eega
husk	dop
husk	schil
hut, cabin	stulp
hyaena, hyena	hyena
Hydra	Hydra
hydrophobia	waterschuwheid
hygiene	hygiëne
hygienic	hygiënisch
hygienic	sanitair
hymn, anthem	hymne
Hypnos	Hypnos
hypnosis	hypnose
hypnotist	hypnotiseur
hypnotize	biologeren
hypnotize	hypnotiseren
hypocrite	huichelaar
hypocrite	hypocriet
hypocrite	veinzer
hypocritical	gehuicheld
hypocritical	huichelachtig
hypocritical, underhanded	geveinsd
hypothesis, supposition	hypothese
hypothesize	veronderstellen
hypothetical	hypothetisch
hysteria	hysterie
hysterical	hysterisch
I	ik
I	ik
I, me	me
I, me	mij
I.Q.	intelligentiequotiënt
I.Q.	IQ
Iberian	Iberisch
ice, icecream	ijs
iceberg	ijsberg
icecream, ice	consumptie-ijs
icecream, ice	ijsco
icecream, ice	ijsje
Iceland	IJsland
Icelander	IJslander
Icelandic	IJslands
icing	glacé
icon	pictogram
icy	ijs-
icy	ijskoud
icy	ijzig
ID, I.D.	legitimatie
ID, I.D.	legitimatiebewijs
Idaard, Idaerd	Idaard
idea	benul
idea	denkbeeld
idea	idee
idea	idee
ideal	ideaal
idealist	idealist
identical, same	identiek
identify	identificeren
identify	vereenzelvigen
identity	identiteit
ideology	ideologie
idiocy	idiotie
idiocy	idiotisme
idiom	idioom
idiom	taaleigen
idiot, idiotic	idioot
idol	afgodsbeeld
idolator	afgodendienaar
idolator	heiden
idolator	paganist
idolatry	afgodendienst
idolatry	afgoderij
idyll	idylle
if	indien
if	ingeval
if	of
if, when	wanneer
ignition	ontbranding
ignore	negeren
ignore	onder tafel schuiven
Iliad	Ilias
ill, sick	ziek
ill-fated, fateful	fataal
ill-fated, fateful	funest
illiterate	analfabetisch
illiterate	ongeletterd
illness, disease	kwaal
illuminate, enlighten	illumineren
illuminate, facilitate, enlighten	verlichten
illusion	begoocheling
illusion	drogbeeld
illusion	illusie
illustrate	illustreren
illustrate	veraanschouwelijken
illustration	illustratie
illustration	verluchting
imagination, chimera	inbeelding
imagine, fancy	zich verbeelden
Imhotep	Imhotep
imitate	imiteren
imitate	nabootsen
imitate	nadoen
imitation	imitatie
imitation	nabootsing
imitation	navolging
immaterial, indifferent	onverschillig
immaterial, lukewarm, dispassionately, indifferent	lauw
immediate	ogenblikkelijk
immediate	prompt
immediately, instantly	onmiddellijk
immerse	onderdompelen
immigrate	immigreren
immune	immuun
immune	onvatbaar
immune	resistent
imp	kabouter
imp	kobold
impale	spietsen
impartial, neutral	onpartijdig
impel	stuwen
impenetrable	ondoordringbaar
imperialism	imperialisme
imperialist	imperialist
impertinence	brutaliteit
impertinence	hondsheid
impertinence	vrijpostigheid
impertinent	onbeschaamd
impertinent	vrijpostig
impertinent, intrepid, bold, audacious, daring	brutaal
impetus	heftigheid
impetus	onstuimigheid
implicate, entangle	betrekken
implicate, entangle	verstrikken
implore	afsmeken
imply	impliceren
import	importeren
import	invoeren
important, serious	voornaam
impose	forceren
impose	opdringen
imposing	imponerend
imposing	indrukwekkend
impossible	onbestaanbaar
impossible	uitgesloten
impossibly	met geen mogelijkheid
impossibly, impossible	onmogelijk
imposter, charlatan, quack	charlatan
impotent	impotent
impress	imponeren
impress	indruk maken op
impressable, impressible, sensitive	ontvankelijk
impressible, impressable, sensitive	receptief
impression, effect	indruk
impressionism	impressionisme
impressionist	impressionist
imprison	gevangen zetten
imprison	opsluiten
improve	verbeteren
improve	veredelen
impulse	drang
impulse	impuls
imputation	aantijging
in-, dis-, un-, im-	on-
in-, im-, un-, dis-	im-
inaugural	inaugureel
inaugurate	inaugureren
inauguration	inauguratie
inauguration	inwijding
inborn, native, congenital, inbred, innate	ingeboren
incandescent	witgloeiend
incarnation	incarnatie
incarnation	vleeswording
incendiary	brandstichtend
incense	wierook
incest	bloedschande
incest	incest
inch	duim als lengtemaat
incidental, remote, side, distant, far, remotely	ver
incidental, side	zij-
incinerate	verbranden
incinerate, cremate	verassen
incitement, exhortation, stimulus	aansporing
inclination, disposal	neiging
inclination, disposal, lust, want	lust
inclination, temptation, disposal	aanvechting
incline	geneigd zijn
incline	geneigd zijn tot
inclined	genegen
inclined	geneigd
inclined	gezind
include, contain	behelzen
including, inclusively	inbegrepen
including, inclusively	incluis
inclusively, including, inclusive	inclusief
income	inkomen
income	ontvangst
income, product	opbrengst
incomplete	incompleet
incomplete	onvolledig
inconceivable, unintelligible	onbegrijpelijk
inconsistent	inconsequent
inconsonant	disharmonisch
incorrect	mis
increase	opdrijven
increase	ophogen
increase	verheffen
increasingly	in toenemende mate
increasingly	meer en meer
incredible	onaannemelijk
incredible	ongelofelijk
incubate, sit	broeden
incubus, nightmare	nachtduivel
indecisive	besluiteloos
indecisive	onzeker
indecisive	wankel
indeed, actually	metterdaad
indeed, actually, genuinly	inderdaad
indent	inspringen
independant	zelfstandig
independant, autonomous	onafhankelijk
indescribably	onbeschrijflijk
index	indexeren
India	India
Indian	Indiaas
indicate, suggest	aanwijzen
indication, portent, presage, sign, omen	voorbode
indicative	aantonende wijs
indicative	indicatief
indictment, accusation, complaint, charge	beschuldiging
indigestion, dyspepsia	slechte spijsvertering
indignant	verontwaardigd
indispensable	onmisbaar
indispensable	onontbeerlijk
indistinct	vaag
indistinct, muddy	troebel
indistinct, murk, darkness	duister
individual	hoofdelijk
individual	individueel
Indo-China	Achter-Indië
Indo-China	Indo-China
Indo-European	Indo-europees
Indo-Germanic	Indogermaans
Indonesia	Indonesië
Indonesian	Indonesisch
Indonesian, Indian	Indisch
Indra	Indra
induce, extract, gather, infer, deduce, divert	afleiden
inducement, motive	aanleiding
indulgence	aflaat
Indus	Indus
industrial	industrie-
industrial, industrialist	industrieel
industrious, hardworking, diligent	naarstig
industry	naarstigheid
industry	vlijt
industry, fervour, fervor, zeal	ijver
inert	energieloos
inert	traag
inert, motionless	bewegingloos
inexperienced	onervaren
inexperienced, green	groen
inexpressibly	onuitsprekelijk
infantry	infanterie
infantry	voetvolk
infect	besmetten
infect	infecteren
infected, septic	septisch
infection	besmetting
infection	infectie
infectious, contagious, catching	besmettelijk
infer, induce	concluderen
inferior	minderwaardig
infernal	hels
infernal, diabolical, devilish	duivels
infest	onveilig maken
infirm, crippled, disabled	gebrekkig
inflammation, ignition	ontsteking
inflammatory	opruiend
inflate	opblazen
inflated	opgeschroefd
inflation	inflatie
influence	beïnvloeden
influence	invloed hebben op
influenza, flu	griep
inform, communicate, report	berichten
inform, report	inlichten
information	informatie
infuse	laten trekken
infuse, rebate, retreat, subtract	aftrekken
ingenious	geniaal
Ingush	Ingoesj
Ingushia	Ingoesjië
inhabitant	bewoner
inhabitant	ingezetene
inhabitant	inwoner
inhale	inademen
inhale, lever	ophalen
inherit	beërven
inherit	erven
inheritance	erfdeel
inheritance	erfenis
inheritance	erfstuk
inhibit, prevent	verhoeden
initial	initiaal
initial	voorletter
initiate	de stoot geven tot
inject	injecteren
inject	inspuiten
injection	injectie
injection	inspuiting
injection	spuitje
injunction	bevel
injure, spoil	beschadigen
injured	gewond
injury	blessure
injury	kwetsuur
injury	verwonding
injury	wond
ink	inkt
ink-well	inktkoker
ink-well	inktpot
inlet, fjord, loch	fjord
inn, hostel	logement
inner, internal	intern
inner, internal, centre, center, interior	binnenste
innocence	onbedorvenheid
innocence	onschuld
inoculate	enten
inoculate	oculeren
inordinate, excessive, excessively, extravagant	buitensporig
inordinate, excessively, excessive	excessief
input	invoer
inquiry	enquête
inquiry-office	informatiebureau
inquisitive	weetgierig
inquisitive, inquisitively	nieuwsgierig
inquisitively	met nieuwsgierigheid
insane, lunatic, peculiar, crazy, mad, ridiculous	gek
insatiable	onlesbaar
inscription	inscriptie
insect	insekt
inside, until, within, into, a, per, in	binnen
insidious	arglistig
insignia, badge	insigne
insignificant, meaningless, trifling	onbeduidend
insignificant, trifling	beuzelachtig
insignificant, trifling	luizig
insinuate	insinueren
insist	aandringen
insistence, crush, impulse, urgency, congestion	aandrang
inspect	inspectie houden
inspection	inspectie
inspection	schouwing
inspection, fireplace	schouw
inspiration	ingeving
inspire	inboezemen
inspire	inspireren
inspire, animate	bezielen
inspiring	bezielend
install	fitten
install	installeren
instalment, repayment	annuïteit
instant, moment	oogwenk
instantly, immediately	dadelijk
instead	in plaats daarvan
instigate, encourage, excite, fan, freshen, urge	aanwakkeren
instinct	instinct
instinct, impulse	aandrift
institute	gesticht
institute	instituut
instruct	instrueren
instruction, directions	instructie
instructor	instructeur
instructor	leraar
instructor	onderwijzer
instrument	instrument
insubordinate, rebellious	oproerig
insubordinate, rebellious	opstandig
insulate, isolate, seclude	isoleren
insulation, isolation	isolatie
insulation, isolation	isolering
insulator	isolator
insult, offend	affronteren
insult, offend	beledigen
insult, offend	krenken
insurance	assurantie
insurance	verzekering
insure	assureren
insure	veilig stellen
integer, completely, entirely, wholly, fully, very	heel
integral	integraal
integral	onaangetast
integral	ongeschonden
intellect, mind, spirit, phantom, soul, ghost	geest
intellectual	intellectueel
intellectual	verstandelijk
intelligence	bevattingsvermogen
intelligence	intelligentie
intend	bedoelen
intend	beogen
intend	mikken
intend	mikken op
intense, strong, intensive	sterk
intensive, intense	intens
intensive, intense	intensief
intention, meaning, plan, scheme	plan
intention, plan, meaning	bedoeling
intentional	bedoeld
intentional	opzettelijk
inter, bury, entomb	begraven
inter, entomb	ter aarde bestellen
intercede	voorspreken
interchange, swap	wisselen
interest	belang inboezemen
interest	interesseren
interested	belangstellend
interested	geïnteresseerd
interesting	belangwekkend
interesting	interessant
interface	interface
interior	inwendige
interjection	tussenwerpsel
intermittent	hortend
intermittent	intermitterend
international	internationaal
interpret	duiden
interpret	interpreteren
interpretation	interpretatie
interpretation	uitlegging
interpretation	vertolking
interpreter	interpreter
interpunction, punctuation	interpunctie
interpunction, punctuation	punctuatie
interrogate	een verhoor afnemen
interrogate	ondervragen
interrupt	interrumperen
interrupt	onderbreken
interrupt	schorsen
interruption	interruptie
interruption	onderbreking
interruption	schorsing
interval	interval
interval	tussenruimte
intervene	ingrijpen
intervene	interveniëren
interview	interviewen
intestine	darm
intestines	ingewanden
intimate	intiem
intimate	knus
into, a, inside, in, within, per, on	te
into, a, per, inside, within, in	in
intone	een lied aanheffen
intone	inzetten
intoxicated, drunk	beschonken
intoxicated, drunk	dronken
intrepid, bold, daring, audacious	gedurfd
intrigue	bekonkelen
intrigue	intrigeren
intrigue	konkelen
introduce	indienen
introduce	presenteren
introduce, equip, export, play	uitvoeren
introduction, preface	inleiding
introduction, preface	introductie
intrude	zich indringen
intrude	zich opdringen
invade	binnenrukken
invade	binnenvallen
invasion	inval
invasion	invasie
invent	bekokstoven
invent	uitdenken
invention	uitvinding
inventor	uitvinder
inventory	inventaris
inventory, inheritance	boedel
investigate, explore, examine	onderzoeken
investigation, test, examination	onderzoek
invincible	onbedwingbaar
invincible	onoverwinnelijk
invitation	invitatie
invitation	uitnodiging
invite	inviteren
invite	noden
invite	uitnodigen
invite, request, ask	vragen
invoice	factureren
invoice, declare	declareren
invoke	aanroepen
inwards	binnenwaarts
inwards	naar binnen
Io	Io
iodine	jodium
Ionian	Jonisch
Iraki, Iraquian, Iraqi	Iraaks
Iran	Iran
Iranian	Iraans
Iraq, Irak	Irak
Ireland	Ierland
Irene	Irene
Iris	Iris
Irish	Iers
Irishman	Ier
Iriswoman	Ierse
Irnsum, Jirnsum	Irnsum
iron	ijzeren
ironic	ironisch
irony	ironie
irresistible	onweerstaanbaar
irrigate	begieten
irrigate	bevloeien
irrigate, pour	gieten
is	is
Ishtar	Isjtar
Isis	Isis
Islam	islam
Islam	mohammedanisme
Islamic	islamitisch
island	eiland
isolated, secluded	alleenstaand
isolated, secluded	geïsoleerd
Israel	Israel
Israel	Israël
Israelian, Israeli	Israelisch
Israelian, Israeli	Israëlisch
Israelite, Israelitish	Israelitisch
Issel	IJssel
issue, publish	emitteren
issue, publish	uitgeven
Istanbul	Istanboel
it	het
Italian	Italiaans
Italy	Italië
itch	jeuken
itch	krieuwelen
item, particle, fragment	deeltje
Ithaca	Ithaca
its, her, them, their, they	hun
itself, herself, self, himself	vanzelf
ivory	ivoorkleurig
ivory	ivoren
ivy	klimop
jack	dommekracht
jack	krik
jack, mortar	vijzel
jackal	jakhals
jacket	buis
jacket	colbert
jacket	jasje
Jacob	Jakob
jaguaro	jaguar
jail, prison, cell, gaol	kerker
jam, marmelade, gruel, mush, mess	moes
Jamaica	Jamaica
January	januari
January	louwmaand
Janus	Janus
Jap	Jap
Japan	Japan
Japanese	Japans
jargon	jargon
jargon	taaltje
Jari	Jari
Jason	Jason
jaunty, cheerful	monter
jaunty, gentlemanlike, ladylike	keurig
Java	Java
Javanese, Javan	Javaans
jaw, jawbone	kakement
jawbone, jaw, cheek	kaak
jaws, mouth, mule, maw, muzzle	muil
jaws, muzzle, bill, maw, beak, mouth	bek
jay	gaai
jay	Vlaamse gaai
jazz	jazz
jealous, envious	jaloers
jealousy	jaloezie
jealousy	naijver
Jehovah	Jehova
Jericho	Jericho
Jersey	Jersey
Jerusalem	Jeruzalem
jest	boerten
jest	gekscheren
jest	schertsen
jester, buffoon	harlekijn
jester, buffoon, clown	clown
Jesus	Jezus
Jew	Hebreeër
Jew	jood
jewel, gem	edelgesteente
jewel, gem	edelsteen
jeweller	juwelier
Jewish, Hebrew	Hebreeuws
Jewish, Hebrew	joods
Jibuti, Djibouti	Djibouti
jingle, tinkle	rinkelen
job	arbeid
job	baan
job	emplooi
job	werk
job, task	karwei
jocular, playful	guitig
jocular, playful	snaaks
Johannesburg	Johannesburg
join	toetreden
join	zich aansluiten
joint	gelid
joint	gewricht
joint, node	geleding
joint, node	knoop
joke	grap
joke	grol
joke	pots
Jordan	Jordanië
Joseph	Jozef
jot, iota	jota
journal	courant
journal	dagblad
journalist	journaliste
journey, voyage, trip	reis
Jove	Jupijn
Jove, Jupiter	Jupiter
joy, gladness	blijdschap
joystick, helm, steering-wheel, rudder, handlebars	stuur
jubilant	jubel-
jubilation, exultation	gejubel
jubilee	jubileum-
Judaism	jodendom
judge	berechten
judge	oordelen
judgment	gericht
judgment	oordeel
jug, pitcher	kruik
juggle	jongleren
juggler	jongleur
July	hooimaand
July	juli
junction, joining	aansluiting
June	juni
June	zomermaand
Juneau	Juneau
jungle	jungle
jungle	oerwoud
jungle	rimboe
junior, future, young	beginnend
Juno	Juno
junto, clique, coterie	kongsi
junto, coterie, clique, firmly	pal
Jura, Jurassic	Jura
jurist	jurist
jury	jury
just, righteous	billijk
just, righteous	fair
just, righteous	rechtvaardig
Justice	Justitia
justice, righteousness	billijkheid
Kabul	Kaboel
kangaroo	kangoeroe
Karelia	Karelië
karma	karma
Kashmir	Kasjmir
Katar, Qatar	Katar
Kattegat	Kattegat
Kazakh, Kazak	Kazachstaans
Kazakhstan	Kazachstan
keep	blijven
keepsake, memento, souvenir	aandenken
Kenya	Kenia
Kenyan	Keniaans
Kenyan	Kenyaans
Kerguelen	Kerguelen
kernel, nucleus, wick, core, granule, grain, pip	pit
kerosene	lampolie
kettle, boiler, cauldron, steam-boiler	ketel
key	sleutel
key, gamut	scala
key, gamut	toonladder
key, gamut	toonschaal
keyboard	toetsenbord
keyboard	toetsenbord
keys	sleutels
Kharkov	Charkov
Kharkov	Harkov
Khartoum, Khartum	Chartoem
kibbutz	kibboets
kick, spades	schoppen
kid	een geintje maken
kidney	nier
Kieff, Kiev	Kiëv
kill, slay	doden
kiln, oven, stove, furnace	oven
kilo	kilo
kilo	kilogram
kilometer, kilometre	kilometer
kilt	kilt
kilt	Schotse rok
kimono	kimono
kindness	liefheid
kindness	voorkomendheid
king, queen, dam, dame	dam
kingdom	koninkrijk
kingfisher	ijsvogel
Kirghizia	Kirgizië
kirk	bedehuis
kirk	kerkgebouw
kiss	zoenen
kiss, cushion	kussen
kitchen	keuken
kitchen	kookgelegenheid
kitten	katje
Kleve	Kleef
knead	kneden
knee	knie
kneel	knielen
knife	mes
knight, cavalier	ridder
knit	breien
knob	gevest
knob	heft
knob	knop
knock	opvallen
knot	een knoop leggen
knot	knopen
know	bekend zijn met
know	kennen
knowledge	bekendheid
knowledge	kunde
Koran	Koran
Korea	Korea
Korean	Koreaans
Kosovo	Kosovo
Kremlin	Kremlin
Krishna	Krisjna
Kuinder, Tjonger	Tjonger
Kurd	Koerd
Kurdish	Koerdisch
Kurdistan	Koerdistan
Kuwait	Koeweit
Kyrgyz	Kirgizisch
label, etiquette	label
laboratory	laboratorium
labour	bevallen
labour	ter wereld brengen
labourer, workman, operative, laborer	werkman
Laccadives	Laccadiven
lack	derven
lack	ontberen
lackey	herenknecht
lackey	lakei
lacquer, varnish	lakken
lacquer, varnish	verlakken
ladder	ladder
lady	dame
ladybug	lieveheersbeestje
lagoon	kustmeer
lagoon	lagune
lake	plas
lamb	lamsvlees
lame	hinkend
lame	kreupel
lame	mank
lamp, bulb	lamp
lamp-shade	lampekap
lamp-shade, roof, cowl	kap
land	aan land gaan
land	landen
landing	daling
landing	landing
landing-stage, wharf, quay, pier	aanlegplaats
landslide	aardverschuiving
language	taal
language	taal
languages	talen
lanky	rijzig
lantern	lantaarn
Lao	Laotiaanse taal
Laos	Laos
Laotian, Lao	Laotiaans
lap, plash, splash	klotsen
Lapland	Lapland
Laplander	Lap
Laplander	Laplander
Lapp, Lappish	Laplands
lapse	terugvallen
lapsed, dilapidated, rickety, decayed, decrepit	aftands
larch	lariks
larch	lork
larch	lorkeboom
larder, store-cupboard, pantry	provisiekast
large, spacious, wide, lanky, big, vast	groot
lark	leeuwerik
larva	larve
laryngitis	keelontsteking
larynx	strottehoofd
lass, girl, maid, servant	meid
last, preliminary, prior, preparatory, former	voorafgaand
lasting, abiding	aanhoudend
late, tardy	laat
lately	de laatste tijd
lately	recentelijk
later	later
latex	latex
lath, slat	lat
lathe	draaibank
lathe	draaischijf
lather	zeepsop
lather, sauce, gravy	sop
Latin	Latijns
latrine	latrine
Latvia	Letland
laud, commend, glorify, praise	loven
laugh	lachen
laughter	gelach
laughter	hilariteit
laughter	lachbui
launch	lanceren
launch	ontketenen
laundress	wasvrouw
laundry	wasserij
laurel	laurier
laurel	lauwer
lava	lava-
lawn	gazon
lawn	grasmat
lawn	grasveld
lawn, bed, frontier, boundary	perk
lawsuit	geding
lawsuit	gerechtszaak
lawsuit	proces
lawyer, advocate	verdediger
laxative	laxans
laxative	laxeermiddel
lay	vlijen
lay-by	parkeerplaats
lay-by	parkeerterrein
layer	aardlaag
layman	leek
layman	niet-ingewijde
laziness	luiheid
leader, boss, chef, chief	chef
leading	leidend
leading	toonaangevend
leading	toongevend
leaf, sheet, magazine, gazette, newspaper, plateau	blad
leaflet, paperback, pamphlet	paperback
league	liga
lean, support, sustain	schragen
leap, jump	springen
leap-year	schrikkeljaar
learn	aanleren
lease	in pacht hebben
lease	pachten
least	minst
leather	lederen
leather	leerachtig
leather, learn	leren
leaven, yeast	gist
leaving-certificate	einddiploma
Lebanese	Libanees
Lebanon	Libanon
Lebanon	Libanongebergte
lectern, desk	lessenaar
lector, lecturer	lector
lecture	college geven
Leda	Leda
leech	bloedzuiger
left	linker-
left	links
legal	gewettigd
legal	legaal
legal	wettelijk
legal	wettig
legation	legatie
legend	legende
legend	volksoverlevering
legendary	legendarisch
legible	leesbaar
legion	legioen
legitimize	echten
legitimize	legitimeren
Leiden, Leyden	Leiden
leitmotif, leitmotiv	Leitmotiv
lemon	citroen
lemonade	limonade
lend	uitlenen
lend	voorschieten
length	langdurigheid
length, longitude	lengte
lengthen	rekken
lengthwise	daarlangs
lengthwise	in de lengte
lenient	goedertieren
lenient	lankmoedig
lenient	schappelijk
lentil	linze
leper	lepralijder
leper	leproos
leper	melaatse
leprosy	lepra
leprosy	melaatsheid
Lesotho	Lesotho
less	minder
lesson	les
let, allow	laten begaan
lethargy	doffe onverschilligheid
lethargy	lethargie
Lethe	Lethe
Lett	Let
letter, epistle	epistel
letterbox, mailbox	brievenbus
Lettish, Latvian	Lets
lettuce	kropsla
lettuce	latuw
lettuce	sla
Levant	Levant
Levantine	Levantijns
level	aan de schouder brengen
level-crossing	overweg
level-crossing	spoorwegovergang
lever	beuren
lever	heffen
Levite	Leviet
Lias	Lias
liberal	liberaal
liberal	vrijzinnig
liberate	bevrijden
Liberia	Liberia
Liberian	Liberiaans
library	bibliotheek
library	boekerij
Libya	Libië
Libyan	Libisch
licence	licentie
licence	vergunning
lick	likken
lid	bedekking
lid	deksel
lid	kaft
lid	omslag
lie, recline	liggen
Liechtenstein	Liechtenstein
lieutenant	luitenant
life	hachje
life-boat	reddingsboot
lifeless, dispassionately, apathetic	lusteloos
lifeless, tiresome, monotonous	saai
ligature	toebinden
ligature, untie	afbinden
light	licht
light, kindle	doen ontbranden
light, kindle, infect	aansteken
light-switch	lichtknop
light-switch	lichtschakelaar
lighter	aansteker
lighter	vuurmaker
lighthouse	lichttoren
lighthouse	vuurbaak
lighthouse	vuurtoren
lightly, facile, clear, weak, easy, insubstantial	licht
lightly, weakly	lichtjes
lightly, weakly	zwakjes
lightning	bliksem
lightning	flits
lightning	hemelvuur
lightning	schicht
likable	waard om van te houden
like, as	bij wijze van
lilac	sering
lily	lelie
limb, member	lidmaat
Limbourg, Limburg	Limburg
lime	kalk
lime-tree, linden-tree	linde
limit, abridge, restrict, confine	begrenzen
limit, abridge, restrict, confine	beknotten
limp	hinken
limp	kreupel lopen
limp	mank lopen
linden-tree, lime-tree	lindeboom
line	hengelsnoer
line	sim
line	vislijn
lineage	afstamming
lineage	komaf
linen	linnen
lineseed-oil	lijnolie
linguist	linguïst
linguist	taalgeleerde
linguist	taalkundige
linguistic	taal-
linguistic	taalkundig
lining	voering
link, mount	monteren
linker	linker
linoleum	linoleum
linoleum	vloerzeil
lion	leeuw
lip	lip
liqueur	likeur
liquid, fluid	vloeistof
liquidate	liquideren
liquidate	opheffen
liquidate, unroll, finnish, expedite, conclude	afwikkelen
Lisbon	Lissabon
lisp	lispelen
list	een lijst maken
list	lijst
list	uitlisten
listen	aanhoren
listen	beluisteren
listen	luisteren
listener	luisteraar
listener	toehoorder
litany	litanie
literal	letterlijk
literal, word-for-word, verbatim	woordelijk
literary	letterkundig
literary	literair
literary	litterair
literature	letterkunde
literature	literatuur
literature	litteratuur
Lithuania	Litouwen
Lithuanian	Litouws
litigate	procederen
litre, liter	liter
little, diminutive, small	gering
little, diminutive, small	luttel
little, small, less, diminutive, minus	min
liturgy	liturgie
live, dwell	huizen
live, dwell	resideren
liver	lever
livestock	levende have
livestock	vee
livestock	veestapel
living-room, sitting-room	huiskamer
living-room, sitting-room	woonkamer
Livonia	Lijfland
Livonian	Lijflands
Liège	Luik
loaf, bread	brood
loathe, abominate, abhor	verafschuwen
lobster	langoest
lobster	pantserkreeft
lobster, crayfish	kreeft
local	plaatselijk
locate	plaatsen
locate	situeren
locate, lay	leggen
lock, castle, hook	slot
locked	afgesloten
locked	op slot
locksmith	slotenmaker
locust, grasshopper	sprinkhaan
Lofoten	Lofoten
logic	logica
logical	logisch
loin	lende
loin, fork	kruis
London	Londen
lonely	eenzaam
longing	smachtend
longing	verlangend
longitude	lengte (geo.)
look	er uitzien
look	het uiterlijk hebben van
loom	weefgetouw
loosely	losjes
Looz	Borgloon
lord	lord
Lorelei	Lorelei
Lorraine, Lothringen	Lotharingen
lorry, truck	vrachtauto
lorry, truck	vrachtwagen
lose	kwijtraken
lose	verbeuren
loss	strop
loss, deficit	deficit
loss, disadvantage	nadeel
loss, pity	schade
lost	kwijt
lost	verloren
lost	vervlogen
lot	kavel
lot	perceel
lotus	lotus
lotus	rolklaver
loud, loudly	luid
loudly	hardop
lounge, salon, parlour	salon
lounge, salon, parlour	zaal
louse	luis
Louvain	Leuven
lovable	beminnenswaardig
lovable, dainty, pretty	beminnelijk
love	beminnen
love	houden van
love	liefhebben
lover	geliefde
lover	minnares
lover	vrijster
lover, friend	vriendin
low, vile, deep	laag
lower, decrease	afdraaien
loyal	loyaal
loyal	trouwhartig
loyal, faithful	trouw
LP	langspeelplaat
LP	LP
LPG	L.P.G.
LPG	LPG
Lucifer	Lucifer
luck	bof
luck	buitenkansje
luck	mazzel
ludicrous, ridiculous	belachelijk
luggage, baggage	bagage
luggage-van	bagagewagen
lukewarm	zoel
lull	wiegen
lullaby	slaaplied
lullaby	wiegelied
lump, clod, chunk	klomp
lump, clod, chunk	klont
lunar	lunair
lunar, moon-	maan-
lunatic	bezetene
lunatic	krankzinnige
lunch, snack	twaalfuurtje
lung	long
lust	hartstocht
lust	passie
lust, drunkenness	roes
lute	luit
Luxembourger, Luxemburger	Luxemburger
Luxemburg, Luxembourg	Luxemburg
Luxor	Luxor
luxurious, deluxe	luxueus
luxurious, deluxe	weelderig
luxury	luxeartikel
luxury	weeldeartikel
lyceum	lyceum
Lycia	Lycië
Lycian	Lycische
Lydia	Lydië
Lydian	Lydisch
Lyra	Lier
lyric, text	tekst
Maastricht, Maestricht	Maastricht
Macao	Macao
macaroni	macaroni
Macau	Macau
Maccabees	Makkabeeën
Macedonia	Macedonië
Macedonian	Macedonisch
mach	mach
Machiavelli	Machiavelli
machine	machine
machinery	machinerieën
mackerel	makreel
mad, crazy, insane	krankzinnig
mad, insane, crazy, intoxicated, furious, rabid	dol
Madagascan	Madagaskisch
Madagascar	Madagascar
Madeira	Madeira
Madonna	Madonna
Madrid	Madrid
maestro	grootmeester
maestro	maëstro
maestro	meester
Magdalena	Magdalena
Magdalenian	Magdalenien
magic	magie
magic	toverkunst
magical	magisch
magical	toverachtig
magician	goochelaar
magnanimous	edelmoedig
magnanimous	grootmoedig
magnet	magneet
magnetic	magnetisch
magnetism	magnetisme
magnetize	magnetiseren
magnificent, grand, superb, grandiose	grandioos
Magog	Magog
Magyar	Magyaar
mail	posterijen
mailman	postbeambte
mailman, postman	postbode
main, principal, predominant	voornaamste
mainland, continent	continent
mainland, continent	vasteland
maintain	argumenteren
maintain	betogen
maintain	vertogen
maize, mealies	maïs
majestic	majestueus
majestic, solemn, ceremonious	plechtstatig
majesty	statigheid
majesty	verhevenheid
major	majoor
Majorca, Mallorca	Majorca
majority	meerderheid
majority	meerderjarigheid
make, do	bedrijven
make-up	blanketsel
make-up	make-up
make-up	schmink
making, manifacture	fabricage
making, manifacture	fabricatie
Malacca	Malakka
malaria	malaria
Malawian	Malawisch
Malay	Maleis
Malaysia	Maleisië
Malaysian	Maleisisch
Maldives	Malediven
Maldivian	Maledivisch
male, masculine	mannelijk
malfunction	haperen
malfunction	stuk gaan
Mali	Mali
Malian	Malinees
Malian	Malisch
malign, harmful	schadelijk
Malines, Mechlin	Mechelen
malt	mout
Malta	Malta
Maltese	Maltezer
mam, mom, mammy, mommy	ma
mam, mommy, mom, mammy	mammie
mammal	zoogdier
Mammon	Mammon
mammy, mom, mam, teat, mommy	mam
man	mens
manage, administer	administreren
manageable, tractable, accommodating	inschikkelijk
Manchuria	Mantsjoerije
Manchurian	Mantsjoerijns
mandate	lastbrief
mandate	volmacht
maneuver, manoeuvre, manuvre	manoeuvreren
manger, trough	eetbak
mango	manga
mango	mango
mango-tree	mangaboom
mango-tree	mangoboom
mangosteen	mangisboom
manicure	manicuren
manifacture, making	aanmaak
Manila	Manilla
manipulate	hanteren
manipulate	manipuleren
manipulate	omgaan met
mankind	mensdom
mankind	mensheid
manner, mode	wijze
mansion	herenhuis
mantel, mantelpiece	schoorsteenmantel
